Query,Bandwidth,JobIndex,Dataset,Runtime,Cached,JobId
Q1,1,0,134,2G,190,R,job_1571516204329_0001
Q1,1,1,16,2G,190,R,job_1571516204329_0002
Q1,1,2,19,2G,190,R,job_1571516204329_0003
Q1,40,0,83,2G,133,C,job_1571516204329_0004
Q1,40,1,15,2G,133,C,job_1571516204329_0005
Q1,40,2,16,2G,133,C,job_1571516204329_0006
Q2,40,0,19,2G,191,C,job_1571516204329_0015
Q2,40,1,15,2G,191,C,job_1571516204329_0016
Q2,40,2,27,2G,191,C,job_1571516204329_0017
Q2,40,3,18,2G,191,C,job_1571516204329_0018
Q2,40,4,15,2G,191,C,job_1571516204329_0019
Q2,40,5,16,2G,191,C,job_1571516204329_0020
Q2,40,6,17,2G,191,C,job_1571516204329_0021
Q2,40,7,15,2G,191,C,job_1571516204329_0022
Q2,1,0,16,2G,209,R,job_1571516204329_0023
Q2,1,1,18,2G,209,R,job_1571516204329_0024
Q2,1,2,34,2G,209,R,job_1571516204329_0025
Q2,1,3,18,2G,209,R,job_1571516204329_0026
Q2,1,4,14,2G,209,R,job_1571516204329_0027
Q2,1,5,20,2G,209,R,job_1571516204329_0028
Q2,1,6,19,2G,209,R,job_1571516204329_0029
Q2,1,7,15,2G,209,R,job_1571516204329_0030
