Query,Bandwidth,JobIndex,Runtime,Dataset,TotalRuntime,Cached,JobId
HQ1,1,0,134,2G,190,R,job_1571516204329_0001
HQ1,1,1,16,2G,190,R,job_1571516204329_0002
HQ1,1,2,19,2G,190,R,job_1571516204329_0003
HQ1,40,0,83,2G,133,C,job_1571516204329_0004
HQ1,40,1,15,2G,133,C,job_1571516204329_0005
HQ1,40,2,16,2G,133,C,job_1571516204329_0006
HQ2,40,0,16,2G,191,C,job_1571516204329_0015
HQ2,40,1,15,2G,191,C,job_1571516204329_0016
HQ2,40,2,27,2G,191,C,job_1571516204329_0017
HQ2,40,3,18,2G,191,C,job_1571516204329_0018
HQ2,40,4,15,2G,191,C,job_1571516204329_0019
HQ2,40,5,16,2G,191,C,job_1571516204329_0020
HQ2,40,6,17,2G,191,C,job_1571516204329_0021
HQ2,40,7,15,2G,191,C,job_1571516204329_0022
HQ2,1,0,19,2G,209,R,job_1571516204329_0023
HQ2,1,1,18,2G,209,R,job_1571516204329_0024
HQ2,1,2,34,2G,209,R,job_1571516204329_0025
HQ2,1,3,18,2G,209,R,job_1571516204329_0026
HQ2,1,4,14,2G,209,R,job_1571516204329_0027
HQ2,1,5,20,2G,209,R,job_1571516204329_0028
HQ2,1,6,19,2G,209,R,job_1571516204329_0029
HQ2,1,7,15,2G,209,R,job_1571516204329_0030
